sample,CEU,Neandertal,YRI
tsk_153,0.9985727675609989,0.001021435070218032,0.0004057973687829799
tsk_110,0.9968927185743153,0.0030830966894299953,2.4184736254817954e-05
tsk_199,0.999611582273947,0.00030132799395322327,8.708973209972963e-05
tsk_161,0.9995469234272144,0.00014902049297794789,0.00030405607980777034
tsk_145,0.9962089717525913,0.0019388509831935047,0.0018521772642152642
tsk_190,0.9976632746229385,0.0016490390642798244,0.000687686312781694
tsk_105,0.9974465040218415,0.0025489891049341965,4.506873223973478e-06
tsk_133,0.9999793867991897,1.0924889741162038e-05,9.688311069067121e-06
tsk_131,0.9989341112403243,0.0005309889864662428,0.0005348997732095481
tsk_103,0.9994489729623496,0.0005294286728878739,2.1598364762538403e-05
tsk_166,0.9999999949287847,5.0707785431308565e-09,4.3695431068012696e-13
tsk_134,0.9989809103996051,1.2512931780875054e-05,0.0010065766686139835
tsk_174,0.9960844478670384,0.0013544613956579978,0.002561090737303628
tsk_189,0.9990937317945958,0.0009020920327746833,4.176172629460693e-06
tsk_187,0.9621747236989927,0.0377829056105381,4.237069046919595e-05
tsk_169,0.9745140674038146,0.025447548668749206,3.838392743620571e-05
tsk_160,0.9966122677140363,0.0027612503105683434,0.0006264819753953184
tsk_191,0.999988346403583,1.1406874317507212e-05,2.467220994710294e-07
tsk_149,0.9953961511866962,0.0046012867510989795,2.5620622046875647e-06
tsk_130,0.9988890460368476,0.0001554857668189136,0.0009554681963335564
tsk_151,0.9979140073292233,0.0019136114053225337,0.00017238126545415994
tsk_121,0.9994406393137047,0.0005593577461215388,2.940173863317389e-09
tsk_188,0.9934444920387889,0.006413391368306651,0.00014211659290449294
tsk_106,0.9999997356080715,2.629064927917015e-07,1.4854356839664057e-09
tsk_102,0.9998635813915443,0.00013536484032174832,1.0537681340540765e-06
tsk_207,0.0032338555704163104,0.9966948739756143,7.127045396956725e-05
tsk_212,4.323370942155909e-05,0.9999566990846376,6.720594053427525e-08
tsk_240,0.002465601518369318,0.9971545784581088,0.0003798200235217037
tsk_291,0.013630005239808306,0.986183523099694,0.00018647166049762037
tsk_258,3.490171084888366e-06,0.9999964796633787,3.016553653105433e-08
tsk_263,0.002069679347604729,0.9979293867107395,9.339416556136262e-07
tsk_227,0.05276896434554619,0.9258020228928515,0.021429012761602355
tsk_273,0.017035793839823284,0.9829118691051187,5.2337055057739086e-05
tsk_201,0.0015804975968404342,0.998418827223489,6.751796706045169e-07
tsk_217,0.04553771802603042,0.9370142061606324,0.017448075813337235
tsk_220,0.0002180505837677505,0.9997817022615887,2.471546435900068e-07
tsk_251,0.014524092172297469,0.9850405774993108,0.0004353303283917026
tsk_205,6.327441825415695e-06,0.9999936446816576,2.7876517174956184e-08
tsk_241,2.8066653341463608e-05,0.9999717749267226,1.5841993600256015e-07
tsk_294,8.291933558778661e-05,0.9999167196307598,3.6103365245092525e-07
tsk_287,0.01793475553630646,0.980953467817948,0.0011117766457452937
tsk_243,0.00012513412687104633,0.9998744123769163,4.5349621249898e-07
tsk_298,0.019995948353678624,0.9799899361295129,1.4115516808381695e-05
tsk_235,9.175871918835975e-06,0.9999907860480194,3.8080061754793485e-08
tsk_252,0.005926738439324496,0.9940732589442176,2.6164579135992683e-09
tsk_276,0.007665817245013656,0.9907115991859866,0.0016225835689997498
tsk_257,0.0002627327578571448,0.9997222945922277,1.497264991524798e-05
tsk_214,0.0004634201973572674,0.99953627162331,3.081793327423274e-07
tsk_299,0.08806713654780812,0.9115570985633873,0.0003757648888044951
tsk_270,0.0382854886078699,0.9581999783368566,0.003514533055273658
tsk_81,0.00041695644284325817,0.0014071740519589857,0.9981758695051979
tsk_39,0.001867588386770871,0.002565402906523525,0.9955670087067054
tsk_14,0.00010184535770619358,7.357339389822022e-05,0.9998245812483957
tsk_47,9.749844147095534e-05,0.0030440193528335218,0.9968584822056958
tsk_94,0.40800600165211093,0.0011314856921591054,0.59086251265573
tsk_43,0.0004732786863841454,0.0029377820408392776,0.9965889392727764
tsk_3,0.00014700648246980728,0.0008235603889268019,0.9990294331286035
tsk_53,0.0002490004537438359,0.00010094099265629154,0.9996500585535998
tsk_1,0.00017912179500568335,0.000490460509552225,0.9993304176954424
tsk_49,0.0005830538317893148,0.0002553914219491926,0.9991615547462613
tsk_80,0.029208997965339132,0.0006124553245204856,0.9701785467101405
tsk_34,4.085096657926743e-05,4.462550378410669e-06,0.999954686483042
tsk_91,1.2172383862620778e-05,0.0008868443150825618,0.9991009833010548
tsk_52,1.695239658301577e-05,1.4172047955829297e-06,0.9999816303986213
tsk_13,7.78663254556602e-05,7.833025986883397e-06,0.9999143006485575
tsk_88,5.877761837420174e-05,3.780296716609077e-05,0.9999034194144597
tsk_54,0.3405552092507445,0.00041952226200855507,0.659025268487247
tsk_50,0.00019734373954236016,0.0001317216061079214,0.9996709346543498
tsk_58,1.7121396641284112e-05,7.3771695713775e-06,0.9999755014337873
tsk_48,0.06049041119398974,0.0010101013772328647,0.9384994874287775
tsk_21,1.9721283546993318e-07,3.3313329196497897e-06,0.9999964714542451
tsk_99,0.00030025254621494414,0.0002053673423610027,0.999494380111424
tsk_87,0.00030906410580097606,0.00021414275156429868,0.9994767931426347
tsk_20,0.00026709957112447554,0.00021964591680150833,0.9995132545120741
tsk_71,0.0006236383848898166,0.0004917292793757081,0.9988846323357345
