sample,CEU,Neandertal,YRI
tsk_153,0.867173600315565,0.08478284685122221,0.048043552833212794
tsk_110,0.9079051130391032,0.07135546841323705,0.020739418547659826
tsk_199,0.8975698560642383,0.06543249099529357,0.03699765294046797
tsk_161,0.880771194479392,0.041946175056359794,0.07728263046424828
tsk_145,0.8727046808124111,0.046818509745105305,0.08047680944248352
tsk_190,0.8652889704579828,0.06487663377541694,0.06983439576660047
tsk_105,0.9019087087514317,0.0873773687425353,0.010713922506033058
tsk_133,0.9654860122311042,0.016322211828962808,0.018191775939932996
tsk_131,0.8688585768789427,0.05396768408759144,0.07717373903346561
tsk_103,0.944475570006826,0.03841888146851494,0.017105548524658974
tsk_166,0.9985850452639362,0.0013561046942512057,5.885004181246223e-05
tsk_134,0.9484025279257081,0.01714855244375326,0.034448919630538435
tsk_174,0.9163154602313606,0.047351918450493566,0.03633262131814593
tsk_189,0.8895255083986054,0.09586920751074435,0.014605284090650216
tsk_187,0.8643201731879566,0.1195227285460121,0.016157098266031122
tsk_169,0.7150204883777969,0.2615768437308165,0.023402667891386706
tsk_160,0.8606800371034095,0.07978582826178338,0.059534134634807084
tsk_191,0.9831362859977245,0.013911690320476486,0.0029520236817988537
tsk_149,0.9241658335845954,0.06531105637921293,0.010523110036191686
tsk_130,0.8864509930010877,0.04885596571847538,0.06469304128043717
tsk_151,0.8793763696569293,0.07966374041443335,0.040959889928637375
tsk_121,0.9465811812289453,0.053127447194162236,0.00029137157689244203
tsk_188,0.8891091023107865,0.0739896909808835,0.03690120670833004
tsk_106,0.9944418042198521,0.004638521314025754,0.0009196744661223328
tsk_102,0.9454654994783613,0.04405520971577856,0.010479290805860153
tsk_207,0.054691874628238164,0.919663021155202,0.02564510421655995
tsk_212,0.02163606817307165,0.9754269842707407,0.002936947556187782
tsk_240,0.08178192237288964,0.8524053615332039,0.06581271609390622
tsk_291,0.08135747586038215,0.8882371941470705,0.030405329992547532
tsk_258,0.01640831336859911,0.9808617115821588,0.0027299750492420193
tsk_263,0.11233527662218369,0.878212250996003,0.00945247238181334
tsk_227,0.16887172721199567,0.7876635198115121,0.04346475297649232
tsk_273,0.13718923196528857,0.8357736268061094,0.02703714122860227
tsk_201,0.07363719402771224,0.9181639714796421,0.008198834492645439
tsk_217,0.19809569883880251,0.627565442970034,0.17433885819116363
tsk_220,0.03590154353753432,0.9598641602943986,0.004234296168067127
tsk_251,0.09324491290355454,0.8612484377748888,0.045506649321556514
tsk_205,0.01638315525606749,0.9803447531846167,0.0032720915593158935
tsk_241,0.024358575874876838,0.9710510269750418,0.0045903971500812065
tsk_294,0.03096163231711337,0.9642029152176863,0.004835452465200234
